"[2023-09-23 14:10:07.774] 1484.36[rpm]	Before: 810551239[us]	After: 810632082[us]	Width: 80843[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810632728 [us]	IGN_OFF: 810632011 [us]	INJ_ON: 810670324 [us]	INJ_OFF: 810671429 [us]"
"[2023-09-23 14:10:07.849] 1568.67[rpm]	Before: 810632082[us]	After: 810708580[us]	Width: 76498[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810709572 [us]	IGN_OFF: 810709362 [us]	INJ_ON: 810745103 [us]	INJ_OFF: 810746209 [us]"
"[2023-09-23 14:10:07.924] 1626.61[rpm]	Before: 810708580[us]	After: 810782353[us]	Width: 73773[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810782341 [us]	IGN_OFF: 810783371 [us]	INJ_ON: 810818068 [us]	INJ_OFF: 810818000 [us]"
"[2023-09-23 14:10:07.995] 1666.90[rpm]	Before: 810782353[us]	After: 810854343[us]	Width: 71990[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810854979 [us]	IGN_OFF: 810855995 [us]	INJ_ON: 810889373 [us]	INJ_OFF: 810890477 [us]"
"[2023-09-23 14:10:08.067] 1695.23[rpm]	Before: 810854343[us]	After: 810925130[us]	Width: 70787[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810925772 [us]	IGN_OFF: 810926787 [us]	INJ_ON: 810959584 [us]	INJ_OFF: 810960691 [us]"
"[2023-09-23 14:10:08.137] 1727.17[rpm]	Before: 810925130[us]	After: 810994608[us]	Width: 69478[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810995259 [us]	IGN_OFF: 810995002 [us]	INJ_ON: 811028280 [us]	INJ_OFF: 811029384 [us]"
"[2023-09-23 14:10:08.206] 1766.29[rpm]	Before: 810994608[us]	After: 811062547[us]	Width: 67939[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811063175 [us]	IGN_OFF: 811064193 [us]	INJ_ON: 811095644 [us]	INJ_OFF: 811095004 [us]"
"[2023-09-23 14:10:08.271] 1794.37[rpm]	Before: 811062547[us]	After: 811129423[us]	Width: 66876[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811130413 [us]	IGN_OFF: 811130202 [us]	INJ_ON: 811161941 [us]	INJ_OFF: 811163052 [us]"
"[2023-09-23 14:10:08.336] 1822.49[rpm]	Before: 811129423[us]	After: 811195267[us]	Width: 65844[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811195256 [us]	IGN_OFF: 811196260 [us]	INJ_ON: 811227336 [us]	INJ_OFF: 811227003 [us]"
"[2023-09-23 14:10:08.400] 1857.38[rpm]	Before: 811195267[us]	After: 811259874[us]	Width: 64607[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811260530 [us]	IGN_OFF: 811261545 [us]	INJ_ON: 811291348 [us]	INJ_OFF: 811292453 [us]"
"[2023-09-23 14:10:08.464] 1885.16[rpm]	Before: 811259874[us]	After: 811323529[us]	Width: 63655[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811324150 [us]	IGN_OFF: 811325169 [us]	INJ_ON: 811354516 [us]	INJ_OFF: 811355621 [us]"
"[2023-09-23 14:10:08.527] 1917.97[rpm]	Before: 811323529[us]	After: 811386095[us]	Width: 62566[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811386733 [us]	IGN_OFF: 811386014 [us]	INJ_ON: 811416612 [us]	INJ_OFF: 811417719 [us]"
"[2023-09-23 14:10:08.589] 1941.15[rpm]	Before: 811386095[us]	After: 811447914[us]	Width: 61819[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811447900 [us]	IGN_OFF: 811448905 [us]	INJ_ON: 811478254 [us]	INJ_OFF: 811479362 [us]"
"[2023-09-23 14:10:08.651] 1952.78[rpm]	Before: 811447914[us]	After: 811509365[us]	Width: 61451[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811510357 [us]	IGN_OFF: 811510148 [us]	INJ_ON: 811539482 [us]	INJ_OFF: 811540589 [us]"
"[2023-09-23 14:10:08.712] 1968.25[rpm]	Before: 811509365[us]	After: 811570333[us]	Width: 60968[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811570324 [us]	IGN_OFF: 811571325 [us]	INJ_ON: 811600143 [us]	INJ_OFF: 811601251 [us]"
"[2023-09-23 14:10:08.772] 1988.80[rpm]	Before: 811570333[us]	After: 811630671[us]	Width: 60338[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811630657 [us]	IGN_OFF: 811631660 [us]	INJ_ON: 811660125 [us]	INJ_OFF: 811661230 [us]"
"[2023-09-23 14:10:08.832] 2014.50[rpm]	Before: 811630671[us]	After: 811690239[us]	Width: 59568[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811690878 [us]	IGN_OFF: 811691893 [us]	INJ_ON: 811719370 [us]	INJ_OFF: 811720521 [us]"
"[2023-09-23 14:10:08.891] 2039.36[rpm]	Before: 811690239[us]	After: 811749081[us]	Width: 58842[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811749721 [us]	IGN_OFF: 811749003 [us]	INJ_ON: 811777879 [us]	INJ_OFF: 811779035 [us]"
